year,region,value
2012,Сахалинская область,628.0
2012,Свердловская область,662.0
2012,Севастополь,
2012,Северная Осетия,494.0
2012,Смоленская область,606.0
2012,Ставропольский край,570.0
2012,Тамбовская область,606.0
2012,Татарстан,633.0
2012,Тверская область,727.0
2012,Томская область,600.0
2012,Тульская область,699.0
2012,Тюменская область,534.0
2012,Удмуртия,734.0
2012,Ульяновская область,619.0
2012,Хабаровский край,656.0
2012,Хакасия,575.0
2012,Ханты-Мансийский автономный округ,534.0
2012,Челябинская область,741.0
2012,Чечня,122.0
2012,Чувашия,733.0
2012,Чукотский автономный округ,1019.0
2012,Якутия,575.0
2012,Ямало-Ненецкий автономный округ,677.0
2012,Ярославская область,725.0
2013,Адыгея,434.0
2013,Алтайский край,548.0
2013,Амурская область,624.0
2013,Архангельская область,777.0
2013,Астраханская область,565.0
2013,Башкортостан,583.0
2013,Белгородская область,625.0
2013,Брянская область,595.0
2013,Бурятия,444.0
2013,Владимирская область,800.0
2013,Волгоградская область,554.0
2013,Вологодская область,790.0
2013,Воронежская область,535.0
2013,Дагестан,209.0
2013,Еврейская автономная область,650.0
2013,Забайкальский край,485.0
2013,Ивановская область,770.0
2013,Ингушетия,82.0
2013,Иркутская область,565.0
2013,Кабардино-Балкария,507.0
2013,Калининградская область,639.0
2013,Калмыкия,456.0
2013,Калужская область,639.0
2013,Камчатский край,807.0
2013,Карачаево-Черкесия,392.0
2013,Карелия,822.0
2013,Кемеровская область,621.0
2013,Кировская область,743.0
2013,Костромская область,675.0
2013,Краснодарский край,498.0
2013,Красноярский край,568.0
2013,Крым,
2013,Курганская область,642.0
2013,Курская область,440.0
2013,Ленинградская область,658.0
2013,Липецкая область,578.0
2013,Магаданская область,901.0
2013,Марий Эл,687.0
2013,Мордовия,618.0
2013,Москва,617.0
2013,Московская область,672.0
2013,Мурманская область,789.0
2013,Ненецкий автономный округ,835.0
2013,Нижегородская область,735.0
2013,Новгородская область,861.0
2013,Новосибирская область,546.0
2013,Омская область,546.0
2013,Оренбургская область,589.0
2013,Орловская область,642.0
2013,Пензенская область,606.0
2013,Пермский край,652.0
2013,Приморский край,634.0
2013,Псковская область,621.0
2013,Республика Алтай,410.0
2013,Республика Коми,897.0
2013,Республика Тыва,336.0
2013,Ростовская область,511.0
2013,Рязанская область,570.0
2013,Самарская область,669.0
2013,Санкт-Петербург,732.0
2013,Саратовская область,616.0
2013,Сахалинская область,710.0
2013,Свердловская область,671.0
2013,Севастополь,
2013,Северная Осетия,444.0
2013,Смоленская область,658.0
2013,Ставропольский край,577.0
2013,Тамбовская область,641.0
2013,Татарстан,595.0
2013,Тверская область,725.0
2013,Томская область,619.0
2013,Тульская область,749.0
2013,Тюменская область,578.0
2013,Удмуртия,718.0
2013,Ульяновская область,560.0
2013,Хабаровский край,666.0
2013,Хакасия,601.0
2013,Ханты-Мансийский автономный округ,578.0
2013,Челябинская область,720.0
2013,Чечня,141.0
2013,Чувашия,735.0
2013,Чукотский автономный округ,1043.0
2013,Якутия,564.0
2013,Ямало-Ненецкий автономный округ,657.0
2013,Ярославская область,731.0
2014,Адыгея,482.0
2014,Алтайский край,566.0
2014,Амурская область,635.0
2014,Архангельская область,788.0
2014,Астраханская область,622.0
2014,Башкортостан,602.0
2014,Белгородская область,637.0
2014,Брянская область,618.0
2014,Бурятия,516.0
2014,Владимирская область,810.0
2014,Волгоградская область,595.0
2014,Вологодская область,778.0
2014,Воронежская область,572.0
2014,Дагестан,224.0
2014,Еврейская автономная область,670.0
2014,Забайкальский край,505.0
2014,Ивановская область,771.0
2014,Ингушетия,109.0
2014,Иркутская область,584.0
2014,Кабардино-Балкария,545.0
2014,Калининградская область,655.0
2014,Калмыкия,494.0
2014,Калужская область,654.0
2014,Камчатский край,812.0
2014,Карачаево-Черкесия,415.0
2014,Карелия,810.0
2014,Кемеровская область,639.0
2014,Кировская область,740.0
2014,Костромская область,677.0
2014,Краснодарский край,504.0
2014,Красноярский край,583.0
2014,Крым,481.0
2014,Курганская область,653.0
2014,Курская область,447.0
2014,Ленинградская область,674.0
2014,Липецкая область,605.0
2014,Магаданская область,856.0
2014,Марий Эл,694.0
2014,Мордовия,647.0
2014,Москва,597.0
2014,Московская область,684.0
2014,Мурманская область,826.0
2014,Ненецкий автономный округ,843.0
2014,Нижегородская область,733.0
2014,Новгородская область,867.0
2014,Новосибирская область,550.0
2014,Омская область,550.0
2014,Оренбургская область,610.0
2014,Орловская область,640.0
2014,Пензенская область,628.0
2014,Пермский край,695.0
2014,Приморский край,636.0
2014,Псковская область,641.0
2014,Республика Алтай,457.0
2014,Республика Коми,897.0
2014,Республика Тыва,365.0
2014,Ростовская область,547.0
2014,Рязанская область,610.0
2014,Самарская область,673.0
2014,Санкт-Петербург,711.0
2014,Саратовская область,626.0
2014,Сахалинская область,718.0
2014,Свердловская область,693.0
2014,Севастополь,525.0
2014,Северная Осетия,449.0
2014,Смоленская область,674.0
2014,Ставропольский край,583.0
2014,Тамбовская область,681.0
2014,Татарстан,602.0
2014,Тверская область,726.0
2014,Томская область,640.0
2014,Тульская область,747.0
2014,Тюменская область,622.0
2014,Удмуртия,712.0
2014,Ульяновская область,578.0
2014,Хабаровский край,651.0
2014,Хакасия,665.0
2014,Ханты-Мансийский автономный округ,622.0
2014,Челябинская область,706.0
2014,Чечня,200.0
2014,Чувашия,790.0
2014,Чукотский автономный округ,1059.0
2014,Якутия,595.0
2014,Ямало-Ненецкий автономный округ,693.0
2014,Ярославская область,763.0
2015,Адыгея,501.0
2015,Алтайский край,586.0
2015,Амурская область,625.0
2015,Архангельская область,819.0
2015,Астраханская область,617.0
2015,Башкортостан,608.0
2015,Белгородская область,648.0
2015,Брянская область,653.0
2015,Бурятия,524.0
2015,Владимирская область,822.0
2015,Волгоградская область,613.0
2015,Вологодская область,796.0
2015,Воронежская область,628.0
2015,Дагестан,247.0
2015,Еврейская автономная область,710.0
2015,Забайкальский край,517.0
2015,Ивановская область,792.0
2015,Ингушетия,153.0
2015,Иркутская область,630.0
2015,Кабардино-Балкария,595.0
2015,Калининградская область,706.0
2015,Калмыкия,513.0
2015,Калужская область,660.0
2015,Камчатский край,791.0
2015,Карачаево-Черкесия,474.0
2015,Карелия,808.0
2015,Кемеровская область,648.0
2015,Кировская область,748.0
2015,Костромская область,683.0
2015,Краснодарский край,549.0
2015,Красноярский край,622.0
